12,62,185,185,180,98,366,284,/home/karan/Projects/mask_git/Mask-Dataset/images/5.png
6,25,51,51,216,78,268,130,/home/karan/Projects/mask_git/Mask-Dataset/images/5.png
2,23,51,51,872,84,924,136,/home/karan/Projects/mask_git/Mask-Dataset/images/3.png
0,14,40,42,328,113,371,156,/home/karan/Projects/mask_git/Mask-Dataset/images/1.png
9,17,43,42,419,94,463,137,/home/karan/Projects/mask_git/Mask-Dataset/images/11.png
2,18,49,51,550,95,602,147,/home/karan/Projects/mask_git/Mask-Dataset/images/13.png
0,19,51,51,757,107,809,159,/home/karan/Projects/mask_git/Mask-Dataset/images/5.png
0,17,43,50,659,67,711,118,/home/karan/Projects/mask_git/Mask-Dataset/images/12.png
0,15,42,43,136,122,180,166,/home/karan/Projects/mask_git/Mask-Dataset/images/5.png
0,11,35,35,1201,1198,1237,1234,/home/karan/Projects/mask_git/Mask-Dataset/images/5.png
0,12,34,35,2085,958,2121,994,/home/karan/Projects/mask_git/Mask-Dataset/images/3.png
2,11,32,35,2601,1054,2637,1090,/home/karan/Projects/mask_git/Mask-Dataset/images/1.png
3,15,35,35,2473,1250,2509,1286,/home/karan/Projects/mask_git/Mask-Dataset/images/11.png
1,12,35,35,1981,1070,2017,1106,/home/karan/Projects/mask_git/Mask-Dataset/images/13.png
0,15,30,33,1133,1010,1169,1046,/home/karan/Projects/mask_git/Mask-Dataset/images/5.png
0,14,31,35,261,1158,297,1194,/home/karan/Projects/mask_git/Mask-Dataset/images/12.png
1,13,35,35,585,974,621,1010,/home/karan/Projects/mask_git/Mask-Dataset/images/5.png
11,17,35,35,2301,926,2337,962,/home/karan/Projects/mask_git/Mask-Dataset/images/13.png
2,13,35,35,777,1162,813,1198,/home/karan/Projects/mask_git/Mask-Dataset/images/10.png
1,11,29,31,2537,1230,2573,1266,/home/karan/Projects/mask_git/Mask-Dataset/images/10.png
0,12,32,34,2357,1010,2393,1046,/home/karan/Projects/mask_git/Mask-Dataset/images/12.png
5,15,35,35,2945,590,2981,626,/home/karan/Projects/mask_git/Mask-Dataset/images/3.png
1,12,34,35,1573,1058,1609,1094,/home/karan/Projects/mask_git/Mask-Dataset/images/4.png
0,14,33,35,2341,1218,2377,1254,/home/karan/Projects/mask_git/Mask-Dataset/images/5.png
0,12,32,35,3181,1034,3217,1070,/home/karan/Projects/mask_git/Mask-Dataset/images/3.png
0,15,29,35,537,826,573,862,/home/karan/Projects/mask_git/Mask-Dataset/images/1.png
0,13,32,35,2729,886,2765,922,/home/karan/Projects/mask_git/Mask-Dataset/images/10.png
0,18,32,35,701,1026,737,1062,/home/karan/Projects/mask_git/Mask-Dataset/images/10.png
2,11,32,31,341,694,377,730,/home/karan/Projects/mask_git/Mask-Dataset/images/13.png
7,14,35,34,2865,942,2901,978,/home/karan/Projects/mask_git/Mask-Dataset/images/12.png
